"contest_num","nickname","passed_time"
1,Yanina_K,341820
1,happycookie,341760
1,happycookie,341700
1,happycookie,341700
1,happycookie,341640
1,happycookie,341640
1,JessSmith,341640
1,happycookie,341580
1,soldatenkoes,341580
1,Yanina_K,341580
1,Yanina_K,341400
1,aorew,341220
1,vlbakulev,341160
1,badlo_v,341160
1,cvetvitaly,341160
1,Wag0nWheels,341100
1,sabraganets,340800
1,kaip,340680
1,kaip,340500
1,evgenyto,340380
1,alekandr.tarelkin,340260
1,GreySS,340200
1,evgenyto,339960
1,user_vi,339780
1,cvetvitaly,339600
1,dertty,339540
1,alekandr.tarelkin,339540
1,dertty,339420
1,dertty,339300
1,andreiAP,339240
1,AlinaZemlev,338820
1,norron,338820
1,evgenyto,338700
1,aorew,338580
1,andreiAP,338520
1,aorew,338520
1,user_vi,338160
1,Yanina_K,338040
1,alekandr.tarelkin,337980
1,dertty,337680
1,kudriashovs,336600
1,Cosinus0,335820
1,alekandr.tarelkin,335700
1,gosix22,335220
1,iavdonin,335160
1,asviel,334980
1,ShevchukAlex,334920
1,iavdonin,334680
1,robspb,334620
1,iavdonin,334440
1,robspb,334320
1,gosix22,333660
1,badlo_v,333660
1,gosix22,333420
1,vladimirzenin,333240
1,x-exciter,333180
1,robspb,333180
1,robspb,333120
1,magleb,333000
1,Gra37,332820
1,Gra37,332640
1,rritka,332160
1,mat90x,332100
1,x-exciter,331920
1,cvetvitaly,331800
1,old.flanigan,331680
1,cvetvitaly,331680
1,old.flanigan,331560
1,Cosinus0,331500
1,old.flanigan,331440
1,aorew,331320
1,aorew,331200
1,Gra37,331020
1,DiSO,330720
1,Gra37,330360
1,Unmagian,330300
1,Unmagian,329940
1,Unmagian,329820
1,aorew,329820
1,aorew,329760
1,shnon_bell,329760
1,VirHos,329760
1,Wag0nWheels,329760
1,DiSO,329700
1,Wag0nWheels,329700
1,VirHos,329640
1,sergeyryabukhin,329640
1,pikadzilla,329580
1,mat90x,329460
1,x-exciter,329460
1,aorew,329400
1,x-exciter,329280
1,Cosinus0,329280
1,griddic,329280
1,DiSO,329280
1,norron,329280
1,Cosinus0,329220
1,norron,329220
1,biquaternion,329100
1,m.shalankin,328980
1,aorew,328860
1,robspb,328680
1,iavdonin,328620
1,AntonRampage,328500
1,sabraganets,328440
1,m.shalankin,328320
1,robspb,328320
1,aorew,328320
1,x-exciter,328260
1,adil17ds,328260
1,cherninkiy,328260
1,viconstel,328200
1,sinyaevmaxim,328020
1,adement,327960
1,griddic,327720
1,"0991798574n",327660
1,adement,327300
1,griddic,327300
1,sinyaevmaxim,327240
1,andreiAP,327180
1,iavdonin,327120
1,robspb,327060
1,alekandr.tarelkin,327000
1,pikadzilla,326940
1,pikadzilla,326820
